,Image Name,Real lables,Predected Labels
48,actin - actin_089.tif,actin,actin
49,dna - DNA_019.TIF,dna,dna
50,actin - actin_096.tif,actin,actin
51,mitochondria - mitochondria_063.tif,mitochondria,mitochondria
52,actin - actin_094.tif,actin,actin
53,microtubules - microtubules_013.tif,microtubules,microtubules
54,lysosome - lysosome_010.tif,lysosome,lysosome
55,mitochondria - mitochondria_001.tif,mitochondria,mitochondria
56,golgpp - golgpp_049.tif,golgpp,golgpp
57,golgpp - golgpp_023.tif,golgpp,golgpp
58,actin - actin_052.tif,actin,actin
59,golgia - golgia_038.tif,golgia,golgia
60,mitochondria - mitochondria_044.tif,mitochondria,mitochondria
61,golgpp - golgpp_053.tif,golgpp,golgpp
62,er - ER_055.TIF,er,er
63,dna - DNA_087.TIF,dna,dna
64,mitochondria - mitochondria_030.tif,mitochondria,mitochondria
65,lysosome - lysosome_057.tif,lysosome,lysosome
66,er - ER_052.TIF,er,er
67,nucleolus - nucleolus_055.tif,nucleolus,nucleolus
68,dna - DNA_065.TIF,dna,dna
69,golgpp - golgpp_055.tif,golgpp,golgpp
70,microtubules - microtubules_087.tif,microtubules,microtubules
71,er - ER_040.TIF,er,er
72,golgia - golgia_078.tif,golgia,golgia
73,dna - DNA_074.TIF,dna,dna
74,nucleolus - nucleolus_065.tif,nucleolus,nucleolus
75,nucleolus - nucleolus_062.tif,nucleolus,nucleolus
76,dna - DNA_025.TIF,dna,dna
77,lysosome - lysosome_062.tif,lysosome,endosome
78,microtubules - microtubules_005.tif,microtubules,microtubules
79,endosome - endosome_071.tif,endosome,endosome
80,endosome - endosome_083.tif,endosome,endosome
81,actin - actin_038.tif,actin,actin
82,actin - actin_077.tif,actin,actin
83,microtubules - microtubules_083.tif,microtubules,microtubules
84,microtubules - microtubules_060.tif,microtubules,dna
85,golgia - golgia_085.tif,golgia,golgia
86,mitochondria - mitochondria_073.tif,mitochondria,mitochondria
87,er - ER_010.TIF,er,er
88,dna - DNA_079.TIF,dna,dna
89,dna - DNA_026.TIF,dna,dna
90,mitochondria - mitochondria_057.tif,mitochondria,mitochondria
91,golgia - golgia_028.tif,golgia,golgia
92,lysosome - lysosome_018.tif,lysosome,lysosome
93,dna - DNA_023.TIF,dna,dna
94,lysosome - lysosome_060.tif,lysosome,lysosome
95,nucleolus - nucleolus_035.tif,nucleolus,nucleolus
96,golgia - golgia_058.tif,golgia,golgia
97,lysosome - lysosome_007.tif,lysosome,lysosome
98,nucleolus - nucleolus_060.tif,nucleolus,nucleolus
99,golgpp - golgpp_065.tif,golgpp,golgpp
100,lysosome - lysosome_019.tif,lysosome,lysosome
101,golgpp - golgpp_005.tif,golgpp,golgpp
102,mitochondria - mitochondria_048.tif,mitochondria,mitochondria
103,golgia - golgia_062.tif,golgia,golgia
104,dna - DNA_039.TIF,dna,dna
105,nucleolus - nucleolus_036.tif,nucleolus,nucleolus
106,golgpp - golgpp_041.tif,golgpp,golgpp
107,microtubules - microtubules_036.tif,microtubules,microtubules
108,endosome - endosome_085.tif,endosome,endosome
109,actin - actin_069.tif,actin,actin
110,actin - actin_001.tif,actin,actin
111,endosome - endosome_041.tif,endosome,endosome
112,mitochondria - mitochondria_009.tif,mitochondria,mitochondria
113,mitochondria - mitochondria_061.tif,mitochondria,mitochondria
114,er - ER_053.TIF,er,er
115,golgpp - golgpp_031.tif,golgpp,golgpp
116,microtubules - microtubules_068.tif,microtubules,microtubules
117,actin - actin_023.tif,actin,actin
118,golgpp - golgpp_083.tif,golgpp,golgpp
119,endosome - endosome_034.tif,endosome,endosome
120,endosome - endosome_009.tif,endosome,endosome
121,mitochondria - mitochondria_028.tif,mitochondria,mitochondria
122,mitochondria - mitochondria_003.tif,mitochondria,mitochondria
123,golgpp - golgpp_066.tif,golgpp,golgpp
124,nucleolus - nucleolus_045.tif,nucleolus,nucleolus
125,microtubules - microtubules_003.tif,microtubules,microtubules
126,dna - DNA_004.TIF,dna,dna
127,dna - DNA_083.TIF,dna,dna
128,actin - actin_081.tif,actin,actin
129,nucleolus - nucleolus_044.tif,nucleolus,nucleolus
130,golgia - golgia_075.tif,golgia,golgia
131,golgia - golgia_077.tif,golgia,golgia
132,microtubules - microtubules_023.tif,microtubules,microtubules
133,nucleolus - nucleolus_037.tif,nucleolus,nucleolus
134,golgia - golgia_024.tif,golgia,golgia
135,er - ER_020.TIF,er,er
136,er - ER_057.TIF,er,er
137,dna - DNA_041.TIF,dna,dna
138,microtubules - microtubules_078.tif,microtubules,microtubules
139,lysosome - lysosome_020.tif,lysosome,lysosome
140,endosome - endosome_063.tif,endosome,endosome
141,lysosome - lysosome_044.tif,lysosome,lysosome
142,actin - actin_071.tif,actin,actin
143,endosome - endosome_024.tif,endosome,endosome
144,dna - DNA_043.TIF,dna,dna
145,nucleolus - nucleolus_046.tif,nucleolus,nucleolus
146,lysosome - lysosome_074.tif,lysosome,mitochondria
147,endosome - endosome_013.tif,endosome,endosome
148,dna - DNA_085.TIF,dna,dna
149,nucleolus - nucleolus_020.tif,nucleolus,nucleolus
150,microtubules - microtubules_071.tif,microtubules,microtubules
151,microtubules - microtubules_026.tif,microtubules,microtubules
152,golgpp - golgpp_051.tif,golgpp,golgpp
153,golgpp - golgpp_025.tif,golgpp,golgpp
154,golgia - golgia_050.tif,golgia,golgia
155,lysosome - lysosome_084.tif,lysosome,lysosome
156,er - ER_049.TIF,er,er
157,actin - actin_050.tif,actin,actin
158,endosome - endosome_036.tif,endosome,endosome
159,er - ER_002.TIF,er,er
160,golgia - golgia_021.tif,golgia,golgia
161,microtubules - microtubules_018.tif,microtubules,microtubules
162,lysosome - lysosome_069.tif,lysosome,lysosome
163,endosome - endosome_049.tif,endosome,endosome
164,nucleolus - nucleolus_048.tif,nucleolus,nucleolus
165,mitochondria - mitochondria_041.tif,mitochondria,mitochondria
166,endosome - endosome_038.tif,endosome,endosome
167,golgia - golgia_003.tif,golgia,golgia
168,mitochondria - mitochondria_068.tif,mitochondria,er
169,actin - actin_025.tif,actin,actin
170,golgpp - golgpp_077.tif,golgpp,golgpp
171,er - ER_016.TIF,er,er
172,golgia - golgia_057.tif,golgia,golgia
173,dna - DNA_066.TIF,dna,dna
174,endosome - endosome_060.tif,endosome,endosome
175,golgia - golgia_005.tif,golgia,golgia
176,endosome - endosome_016.tif,endosome,endosome
177,endosome - endosome_021.tif,endosome,endosome
178,mitochondria - mitochondria_006.tif,mitochondria,mitochondria
179,mitochondria - mitochondria_015.tif,mitochondria,mitochondria
180,microtubules - microtubules_032.tif,microtubules,microtubules
181,mitochondria - mitochondria_069.tif,mitochondria,mitochondria
182,mitochondria - mitochondria_029.tif,mitochondria,mitochondria
183,microtubules - microtubules_064.tif,microtubules,microtubules
184,golgpp - golgpp_034.tif,golgpp,golgpp
185,lysosome - lysosome_082.tif,lysosome,lysosome
186,golgia - golgia_069.tif,golgia,golgia
187,actin - actin_007.tif,actin,actin
188,nucleolus - nucleolus_057.tif,nucleolus,nucleolus
189,nucleolus - nucleolus_075.tif,nucleolus,nucleolus
190,golgia - golgia_061.tif,golgia,golgia
191,microtubules - microtubules_041.tif,microtubules,microtubules
192,lysosome - lysosome_049.tif,lysosome,lysosome
193,lysosome - lysosome_006.tif,lysosome,lysosome
194,actin - actin_076.tif,actin,actin
195,dna - DNA_062.TIF,dna,dna
196,mitochondria - mitochondria_067.tif,mitochondria,mitochondria
197,golgpp - golgpp_022.tif,golgpp,golgia
198,actin - actin_013.tif,actin,actin
199,endosome - endosome_030.tif,endosome,endosome
200,er - ER_032.TIF,er,er
201,nucleolus - nucleolus_030.tif,nucleolus,nucleolus
202,lysosome - lysosome_059.tif,lysosome,lysosome
203,golgia - golgia_056.tif,golgia,golgia
204,golgpp - golgpp_019.tif,golgpp,golgpp
205,lysosome - lysosome_045.tif,lysosome,lysosome
206,actin - actin_062.tif,actin,actin
207,endosome - endosome_077.tif,endosome,endosome
208,er - ER_024.TIF,er,er
209,golgia - golgia_019.tif,golgia,golgia
210,golgpp - golgpp_042.tif,golgpp,golgpp
211,golgia - golgia_040.tif,golgia,golgia
212,dna - DNA_036.TIF,dna,dna
213,golgia - golgia_008.tif,golgia,golgia
214,dna - DNA_063.TIF,dna,dna
215,endosome - endosome_059.tif,endosome,endosome
216,golgia - golgia_081.tif,golgia,golgia
217,mitochondria - mitochondria_014.tif,mitochondria,mitochondria
218,actin - actin_048.tif,actin,actin
219,er - ER_026.TIF,er,er
220,golgpp - golgpp_037.tif,golgpp,golgpp
221,lysosome - lysosome_064.tif,lysosome,lysosome
222,nucleolus - nucleolus_033.tif,nucleolus,nucleolus
223,lysosome - lysosome_039.tif,lysosome,lysosome
224,lysosome - lysosome_026.tif,lysosome,lysosome
225,dna - DNA_057.TIF,dna,dna
226,nucleolus - nucleolus_074.tif,nucleolus,nucleolus
227,golgpp - golgpp_036.tif,golgpp,golgpp
228,lysosome - lysosome_005.tif,lysosome,lysosome
229,nucleolus - nucleolus_012.tif,nucleolus,nucleolus
230,dna - DNA_014.TIF,dna,dna
231,endosome - endosome_052.tif,endosome,endosome
232,nucleolus - nucleolus_053.tif,nucleolus,nucleolus
233,nucleolus - nucleolus_009.tif,nucleolus,nucleolus
234,actin - actin_087.tif,actin,actin
235,endosome - endosome_087.tif,endosome,endosome
236,golgia - golgia_052.tif,golgia,golgia
237,er - ER_067.TIF,er,er
238,microtubules - microtubules_077.tif,microtubules,microtubules
239,endosome - endosome_075.tif,endosome,endosome
240,actin - actin_005.tif,actin,actin
241,golgia - golgia_084.tif,golgia,golgia
242,microtubules - microtubules_053.tif,microtubules,microtubules
243,nucleolus - nucleolus_025.tif,nucleolus,nucleolus
244,microtubules - microtubules_042.tif,microtubules,microtubules
245,lysosome - lysosome_041.tif,lysosome,endosome
246,dna - DNA_003.TIF,dna,dna
247,nucleolus - nucleolus_003.tif,nucleolus,nucleolus
248,microtubules - microtubules_015.tif,microtubules,microtubules
249,microtubules - microtubules_010.tif,microtubules,microtubules
250,mitochondria - mitochondria_045.tif,mitochondria,mitochondria
251,lysosome - lysosome_048.tif,lysosome,lysosome
252,dna - DNA_037.TIF,dna,dna
253,er - ER_069.TIF,er,er
254,microtubules - microtubules_063.tif,microtubules,microtubules
255,mitochondria - mitochondria_059.tif,mitochondria,mitochondria
256,er - ER_044.TIF,er,er
257,golgia - golgia_010.tif,golgia,golgia
258,golgpp - golgpp_056.tif,golgpp,golgpp
259,actin - actin_042.tif,actin,actin
260,er - ER_019.TIF,er,er
261,lysosome - lysosome_070.tif,lysosome,endosome
262,nucleolus - nucleolus_066.tif,nucleolus,nucleolus
263,er - ER_050.TIF,er,er
264,nucleolus - nucleolus_056.tif,nucleolus,nucleolus
265,nucleolus - nucleolus_007.tif,nucleolus,nucleolus
266,lysosome - lysosome_075.tif,lysosome,lysosome
267,golgia - golgia_049.tif,golgia,golgia
268,dna - DNA_002.TIF,dna,dna
269,actin - actin_017.tif,actin,actin
270,golgpp - golgpp_015.tif,golgpp,golgpp
271,endosome - endosome_033.tif,endosome,endosome
272,endosome - endosome_020.tif,endosome,endosome
273,lysosome - lysosome_013.tif,lysosome,lysosome
274,microtubules - microtubules_021.tif,microtubules,microtubules
275,lysosome - lysosome_004.tif,lysosome,lysosome
276,dna - DNA_007.TIF,dna,dna
277,golgpp - golgpp_046.tif,golgpp,endosome
278,golgia - golgia_072.tif,golgia,golgia
279,mitochondria - mitochondria_065.tif,mitochondria,mitochondria
280,dna - DNA_031.TIF,dna,dna
281,actin - actin_051.tif,actin,actin
282,actin - actin_021.tif,actin,actin
283,mitochondria - mitochondria_042.tif,mitochondria,mitochondria
284,er - ER_031.TIF,er,er
285,dna - DNA_005.TIF,dna,dna
286,dna - DNA_048.TIF,dna,dna
287,mitochondria - mitochondria_043.tif,mitochondria,mitochondria
288,mitochondria - mitochondria_066.tif,mitochondria,microtubules
289,er - ER_073.TIF,er,er
290,endosome - endosome_014.tif,endosome,endosome
291,golgia - golgia_035.tif,golgia,golgia
292,dna - DNA_016.TIF,dna,dna
293,golgia - golgia_039.tif,golgia,golgia
294,mitochondria - mitochondria_047.tif,mitochondria,mitochondria
295,actin - actin_073.tif,actin,actin
296,golgia - golgia_032.tif,golgia,golgia
297,microtubules - microtubules_072.tif,microtubules,microtubules
298,mitochondria - mitochondria_034.tif,mitochondria,mitochondria
299,golgpp - golgpp_006.tif,golgpp,golgpp
300,golgpp - golgpp_078.tif,golgpp,golgpp
301,lysosome - lysosome_043.tif,lysosome,lysosome
302,actin - actin_039.tif,actin,actin
303,lysosome - lysosome_083.tif,lysosome,endosome
304,mitochondria - mitochondria_036.tif,mitochondria,mitochondria
305,lysosome - lysosome_022.tif,lysosome,lysosome
306,er - ER_014.TIF,er,er
307,nucleolus - nucleolus_028.tif,nucleolus,nucleolus
308,nucleolus - nucleolus_006.tif,nucleolus,nucleolus
309,nucleolus - nucleolus_063.tif,nucleolus,nucleolus
310,lysosome - lysosome_046.tif,lysosome,lysosome
311,nucleolus - nucleolus_061.tif,nucleolus,nucleolus
312,actin - actin_086.tif,actin,actin
313,mitochondria - mitochondria_039.tif,mitochondria,mitochondria
314,mitochondria - mitochondria_033.tif,mitochondria,mitochondria
315,er - ER_082.TIF,er,er
316,er - ER_043.TIF,er,er
317,golgia - golgia_002.tif,golgia,golgpp
318,golgia - golgia_076.tif,golgia,golgia
319,lysosome - lysosome_024.tif,lysosome,lysosome
320,golgia - golgia_007.tif,golgia,golgia
321,er - ER_075.TIF,er,er
322,lysosome - lysosome_051.tif,lysosome,lysosome
323,er - ER_051.TIF,er,er
324,dna - DNA_053.TIF,dna,dna
325,nucleolus - nucleolus_064.tif,nucleolus,nucleolus
326,actin - actin_054.tif,actin,actin
327,actin - actin_080.tif,actin,actin
328,mitochondria - mitochondria_005.tif,mitochondria,mitochondria
329,endosome - endosome_002.tif,endosome,endosome
330,golgpp - golgpp_050.tif,golgpp,golgpp
331,nucleolus - nucleolus_022.tif,nucleolus,nucleolus
332,mitochondria - mitochondria_010.tif,mitochondria,mitochondria
333,microtubules - microtubules_079.tif,microtubules,microtubules
334,endosome - endosome_010.tif,endosome,endosome
335,golgia - golgia_020.tif,golgia,golgia
336,golgia - golgia_027.tif,golgia,golgia
337,golgpp - golgpp_067.tif,golgpp,golgpp
338,golgia - golgia_079.tif,golgia,golgia
339,golgpp - golgpp_064.tif,golgpp,golgpp
340,actin - actin_016.tif,actin,actin
341,mitochondria - mitochondria_023.tif,mitochondria,mitochondria
342,er - ER_065.TIF,er,er
343,microtubules - microtubules_073.tif,microtubules,microtubules
344,mitochondria - mitochondria_026.tif,mitochondria,mitochondria
345,actin - actin_012.tif,actin,actin
346,nucleolus - nucleolus_079.tif,nucleolus,nucleolus
347,endosome - endosome_044.tif,endosome,endosome
348,mitochondria - mitochondria_021.tif,mitochondria,lysosome
349,mitochondria - mitochondria_051.tif,mitochondria,mitochondria
350,endosome - endosome_039.tif,endosome,endosome
351,lysosome - lysosome_016.tif,lysosome,lysosome
352,nucleolus - nucleolus_041.tif,nucleolus,nucleolus
353,nucleolus - nucleolus_014.tif,nucleolus,nucleolus
354,lysosome - lysosome_067.tif,lysosome,lysosome
355,golgpp - golgpp_085.tif,golgpp,golgpp
356,microtubules - microtubules_069.tif,microtubules,microtubules
357,golgpp - golgpp_074.tif,golgpp,golgpp
358,er - ER_007.TIF,er,er
359,lysosome - lysosome_011.tif,lysosome,lysosome
360,mitochondria - mitochondria_019.tif,mitochondria,mitochondria
361,endosome - endosome_004.tif,endosome,endosome
362,golgia - golgia_087.tif,golgia,golgia
363,lysosome - lysosome_071.tif,lysosome,lysosome
364,actin - actin_037.tif,actin,actin
365,golgpp - golgpp_061.tif,golgpp,golgpp
366,nucleolus - nucleolus_031.tif,nucleolus,nucleolus
367,er - ER_021.TIF,er,er
368,dna - DNA_038.TIF,dna,dna
369,er - ER_025.TIF,er,er
370,golgpp - golgpp_069.tif,golgpp,golgpp
371,microtubules - microtubules_011.tif,microtubules,microtubules
372,dna - DNA_042.TIF,dna,dna
373,golgpp - golgpp_081.tif,golgpp,golgpp
374,microtubules - microtubules_020.tif,microtubules,microtubules
375,mitochondria - mitochondria_072.tif,mitochondria,mitochondria
376,golgia - golgia_071.tif,golgia,golgia
377,endosome - endosome_091.tif,endosome,endosome
378,actin - actin_064.tif,actin,actin
379,golgpp - golgpp_002.tif,golgpp,golgpp
380,mitochondria - mitochondria_024.tif,mitochondria,mitochondria
381,er - ER_060.TIF,er,er
382,nucleolus - nucleolus_040.tif,nucleolus,nucleolus
383,microtubules - microtubules_008.tif,microtubules,microtubules
384,actin - actin_095.tif,actin,actin
385,actin - actin_041.tif,actin,actin
386,microtubules - microtubules_074.tif,microtubules,microtubules
387,dna - DNA_029.TIF,dna,dna
388,endosome - endosome_082.tif,endosome,microtubules
389,golgia - golgia_041.tif,golgia,golgia
390,microtubules - microtubules_040.tif,microtubules,microtubules
391,golgia - golgia_026.tif,golgia,golgia
392,er - ER_041.TIF,er,er
393,microtubules - microtubules_037.tif,microtubules,microtubules
394,er - ER_009.TIF,er,er
395,dna - DNA_080.TIF,dna,dna
396,microtubules - microtubules_029.tif,microtubules,microtubules
397,mitochondria - mitochondria_052.tif,mitochondria,mitochondria
398,golgia - golgia_046.tif,golgia,golgia
399,mitochondria - mitochondria_053.tif,mitochondria,mitochondria
400,golgia - golgia_004.tif,golgia,golgia
401,actin - actin_036.tif,actin,actin
402,nucleolus - nucleolus_018.tif,nucleolus,nucleolus
403,actin - actin_027.tif,actin,actin
404,nucleolus - nucleolus_051.tif,nucleolus,nucleolus
405,endosome - endosome_081.tif,endosome,endosome
406,actin - actin_098.tif,actin,actin
407,nucleolus - nucleolus_067.tif,nucleolus,nucleolus
408,mitochondria - mitochondria_020.tif,mitochondria,mitochondria
409,golgpp - golgpp_029.tif,golgpp,golgpp
410,nucleolus - nucleolus_054.tif,nucleolus,nucleolus
411,actin - actin_085.tif,actin,actin
412,actin - actin_010.tif,actin,actin
413,golgia - golgia_043.tif,golgia,golgia
414,golgia - golgia_051.tif,golgia,golgia
415,actin - actin_008.tif,actin,actin
416,golgpp - golgpp_009.tif,golgpp,golgpp
417,golgia - golgia_073.tif,golgia,golgia
418,golgpp - golgpp_084.tif,golgpp,golgpp
419,er - ER_045.TIF,er,er
420,microtubules - microtubules_027.tif,microtubules,microtubules
421,nucleolus - nucleolus_017.tif,nucleolus,nucleolus
422,golgia - golgia_016.tif,golgia,golgia
423,lysosome - lysosome_014.tif,lysosome,lysosome
424,golgpp - golgpp_080.tif,golgpp,golgpp
425,golgpp - golgpp_059.tif,golgpp,golgpp
426,microtubules - microtubules_091.tif,microtubules,microtubules
427,dna - DNA_013.TIF,dna,dna
428,golgpp - golgpp_045.tif,golgpp,golgpp
429,golgpp - golgpp_033.tif,golgpp,golgpp
430,er - ER_042.TIF,er,microtubules
431,nucleolus - nucleolus_042.tif,nucleolus,nucleolus
432,mitochondria - mitochondria_012.tif,mitochondria,mitochondria
433,mitochondria - mitochondria_056.tif,mitochondria,mitochondria
434,endosome - endosome_068.tif,endosome,endosome
435,lysosome - lysosome_017.tif,lysosome,lysosome
436,actin - actin_026.tif,actin,actin
437,actin - actin_030.tif,actin,actin
438,actin - actin_029.tif,actin,actin
439,mitochondria - mitochondria_011.tif,mitochondria,mitochondria
440,actin - actin_020.tif,actin,actin
441,golgpp - golgpp_076.tif,golgpp,golgpp
442,endosome - endosome_047.tif,endosome,endosome
443,mitochondria - mitochondria_070.tif,mitochondria,mitochondria
444,dna - DNA_059.TIF,dna,dna
445,microtubules - microtubules_014.tif,microtubules,microtubules
446,dna - DNA_070.TIF,dna,dna
447,golgia - golgia_017.tif,golgia,golgia
448,endosome - endosome_079.tif,endosome,endosome
449,nucleolus - nucleolus_005.tif,nucleolus,nucleolus
450,mitochondria - mitochondria_025.tif,mitochondria,mitochondria
451,mitochondria - mitochondria_058.tif,mitochondria,mitochondria
452,golgia - golgia_080.tif,golgia,mitochondria
453,er - ER_048.TIF,er,er
454,mitochondria - mitochondria_049.tif,mitochondria,microtubules
455,actin - actin_011.tif,actin,actin
456,dna - DNA_015.TIF,dna,dna
457,mitochondria - mitochondria_071.tif,mitochondria,mitochondria
458,endosome - endosome_008.tif,endosome,endosome
459,golgia - golgia_063.tif,golgia,golgia
460,golgpp - golgpp_035.tif,golgpp,golgpp
461,golgpp - golgpp_073.tif,golgpp,golgpp
462,microtubules - microtubules_038.tif,microtubules,microtubules
463,actin - actin_090.tif,actin,actin
464,endosome - endosome_037.tif,endosome,endosome
465,actin - actin_046.tif,actin,actin
466,er - ER_070.TIF,er,er
467,microtubules - microtubules_075.tif,microtubules,microtubules
468,er - ER_034.TIF,er,er
469,microtubules - microtubules_062.tif,microtubules,microtubules
470,golgia - golgia_053.tif,golgia,golgia
471,microtubules - microtubules_081.tif,microtubules,microtubules
472,actin - actin_031.tif,actin,actin
473,golgpp - golgpp_075.tif,golgpp,golgpp
474,endosome - endosome_065.tif,endosome,endosome
475,microtubules - microtubules_057.tif,microtubules,microtubules
476,actin - actin_035.tif,actin,actin
477,mitochondria - mitochondria_064.tif,mitochondria,mitochondria
478,dna - DNA_027.TIF,dna,dna
479,nucleolus - nucleolus_004.tif,nucleolus,nucleolus
480,mitochondria - mitochondria_031.tif,mitochondria,mitochondria
481,microtubules - microtubules_033.tif,microtubules,microtubules
482,dna - DNA_081.TIF,dna,dna
483,nucleolus - nucleolus_021.tif,nucleolus,nucleolus
484,endosome - endosome_055.tif,endosome,endosome
485,actin - actin_022.tif,actin,actin
486,endosome - endosome_017.tif,endosome,endosome
487,endosome - endosome_046.tif,endosome,endosome
488,endosome - endosome_005.tif,endosome,endosome
489,golgia - golgia_060.tif,golgia,golgia
490,dna - DNA_060.TIF,dna,dna
491,microtubules - microtubules_052.tif,microtubules,microtubules
492,lysosome - lysosome_063.tif,lysosome,lysosome
493,nucleolus - nucleolus_026.tif,nucleolus,nucleolus
494,lysosome - lysosome_025.tif,lysosome,lysosome
495,microtubules - microtubules_028.tif,microtubules,microtubules
496,dna - DNA_056.TIF,dna,dna
497,dna - DNA_055.TIF,dna,dna
498,lysosome - lysosome_050.tif,lysosome,lysosome
499,lysosome - lysosome_008.tif,lysosome,lysosome
500,golgia - golgia_042.tif,golgia,golgia
501,dna - DNA_006.TIF,dna,dna
502,mitochondria - mitochondria_055.tif,mitochondria,mitochondria
503,actin - actin_014.tif,actin,actin
504,er - ER_086.TIF,er,er
505,er - ER_061.TIF,er,er
506,endosome - endosome_003.tif,endosome,endosome
507,golgia - golgia_036.tif,golgia,golgia
508,endosome - endosome_019.tif,endosome,endosome
509,dna - DNA_052.TIF,dna,dna
510,endosome - endosome_018.tif,endosome,endosome
511,er - ER_074.TIF,er,er
512,microtubules - microtubules_049.tif,microtubules,microtubules
513,microtubules - microtubules_035.tif,microtubules,microtubules
514,lysosome - lysosome_065.tif,lysosome,lysosome
515,microtubules - microtubules_039.tif,microtubules,microtubules
516,endosome - endosome_031.tif,endosome,endosome
517,microtubules - microtubules_056.tif,microtubules,microtubules
518,actin - actin_061.tif,actin,actin
519,microtubules - microtubules_086.tif,microtubules,microtubules
520,mitochondria - mitochondria_062.tif,mitochondria,mitochondria
521,golgia - golgia_048.tif,golgia,golgia
522,golgia - golgia_031.tif,golgia,golgia
523,lysosome - lysosome_068.tif,lysosome,lysosome
524,golgpp - golgpp_043.tif,golgpp,nucleolus
525,golgpp - golgpp_054.tif,golgpp,golgpp
526,microtubules - microtubules_017.tif,microtubules,microtubules
527,endosome - endosome_048.tif,endosome,endosome
528,nucleolus - nucleolus_032.tif,nucleolus,nucleolus
529,golgpp - golgpp_008.tif,golgpp,golgpp
530,lysosome - lysosome_078.tif,lysosome,lysosome
531,er - ER_037.TIF,er,er
532,er - ER_001.TIF,er,er
533,lysosome - lysosome_052.tif,lysosome,lysosome
534,golgpp - golgpp_068.tif,golgpp,golgpp
535,lysosome - lysosome_058.tif,lysosome,lysosome
536,microtubules - microtubules_066.tif,microtubules,microtubules
537,endosome - endosome_057.tif,endosome,endosome
538,lysosome - lysosome_036.tif,lysosome,lysosome
539,actin - actin_078.tif,actin,actin
540,golgpp - golgpp_070.tif,golgpp,golgpp
541,nucleolus - nucleolus_010.tif,nucleolus,nucleolus
542,endosome - endosome_015.tif,endosome,endosome
543,endosome - endosome_062.tif,endosome,endosome
544,actin - actin_047.tif,actin,actin
545,er - ER_059.TIF,er,er
546,microtubules - microtubules_007.tif,microtubules,microtubules
547,actin - actin_060.tif,actin,actin
548,mitochondria - mitochondria_050.tif,mitochondria,mitochondria
549,golgpp - golgpp_052.tif,golgpp,golgpp
550,golgpp - golgpp_058.tif,golgpp,golgpp
551,golgpp - golgpp_014.tif,golgpp,golgpp
552,golgpp - golgpp_024.tif,golgpp,golgpp
553,dna - DNA_032.TIF,dna,dna
554,microtubules - microtubules_048.tif,microtubules,microtubules
555,dna - DNA_009.TIF,dna,dna
556,microtubules - microtubules_050.tif,microtubules,microtubules
557,endosome - endosome_058.tif,endosome,endosome
558,nucleolus - nucleolus_024.tif,nucleolus,nucleolus
559,nucleolus - nucleolus_052.tif,nucleolus,nucleolus
560,golgpp - golgpp_026.tif,golgpp,golgpp
561,lysosome - lysosome_037.tif,lysosome,lysosome
562,lysosome - lysosome_081.tif,lysosome,lysosome
563,dna - DNA_024.TIF,dna,dna
564,microtubules - microtubules_065.tif,microtubules,microtubules
565,golgia - golgia_064.tif,golgia,golgia
